match_number,team_number,scoring_type,scoring_value
1,515,Auto Leave,1
1,515,Auto L1,0
1,515,Auto L2,0
1,515,Auto L3,2
1,515,Auto L4,0
1,515,Auto Algae,0
1,1033,Auto Leave,0
1,1033,Auto L1,2
1,1033,Auto L2,1
1,1033,Auto L3,1
1,1033,Auto L4,0
1,1033,Auto Algae,2
1,2433,Auto Leave,1
1,2433,Auto L1,0
1,2433,Auto L2,0
1,2433,Auto L3,0
1,2433,Auto L4,2
1,2433,Auto Algae,0
1,3718,Auto Leave,1
1,3718,Auto L1,2
1,3718,Auto L2,0
1,3718,Auto L3,1
1,3718,Auto L4,2
1,3718,Auto Algae,0
1,5662,Auto Leave,1
1,5662,Auto L1,2
1,5662,Auto L2,2
1,5662,Auto L3,1
1,5662,Auto L4,2
1,5662,Auto Algae,2
1,6765,Auto Leave,1
1,6765,Auto L1,0
1,6765,Auto L2,1
1,6765,Auto L3,0
1,6765,Auto L4,0
1,6765,Auto Algae,1
2,1524,Auto Leave,1
2,1524,Auto L1,2
2,1524,Auto L2,0
2,1524,Auto L3,1
2,1524,Auto L4,1
2,1524,Auto Algae,0
2,3718,Auto Leave,1
2,3718,Auto L1,1
2,3718,Auto L2,1
2,3718,Auto L3,2
2,3718,Auto L4,1
2,3718,Auto Algae,2
2,4439,Auto Leave,1
2,4439,Auto L1,1
2,4439,Auto L2,0
2,4439,Auto L3,1
2,4439,Auto L4,2
2,4439,Auto Algae,1
2,4611,Auto Leave,0
2,4611,Auto L1,2
2,4611,Auto L2,2
2,4611,Auto L3,0
2,4611,Auto L4,2
2,4611,Auto Algae,1
2,5968,Auto Leave,1
2,5968,Auto L1,0
2,5968,Auto L2,2
2,5968,Auto L3,1
2,5968,Auto L4,0
2,5968,Auto Algae,1
2,6765,Auto Leave,1
2,6765,Auto L1,0
2,6765,Auto L2,2
2,6765,Auto L3,1
2,6765,Auto L4,1
2,6765,Auto Algae,2
3,1009,Auto Leave,1
3,1009,Auto L1,1
3,1009,Auto L2,0
3,1009,Auto L3,1
3,1009,Auto L4,0
3,1009,Auto Algae,2
3,2869,Auto Leave,0
3,2869,Auto L1,0
3,2869,Auto L2,0
3,2869,Auto L3,0
3,2869,Auto L4,2
3,2869,Auto Algae,1
3,3718,Auto Leave,1
3,3718,Auto L1,1
3,3718,Auto L2,2
3,3718,Auto L3,1
3,3718,Auto L4,2
3,3718,Auto Algae,2
3,3771,Auto Leave,1
3,3771,Auto L1,1
3,3771,Auto L2,0
3,3771,Auto L3,2
3,3771,Auto L4,1
3,3771,Auto Algae,0
3,4611,Auto Leave,1
3,4611,Auto L1,2
3,4611,Auto L2,1
3,4611,Auto L3,1
3,4611,Auto L4,2
3,4611,Auto Algae,1
3,6765,Auto Leave,1
3,6765,Auto L1,0
3,6765,Auto L2,2
3,6765,Auto L3,2
3,6765,Auto L4,1
3,6765,Auto Algae,1
